# df dtau f tau ell mf af z
1.692978999927767791e-01 3.174277439756451047e-02 2.540258155682065251e+02 4.187169731547132033e-03 9.270001917335838471e+01 6.962734514735616642e+01 7.116079916491102608e-01 9.769304117835934942e-02
1.499455792755681194e-01 5.810974547511411903e-02 2.472554262377406360e+02 4.457493435048964607e-03 1.011811437699820004e+02 7.248505757701624930e+01 7.125635576966580231e-01 1.104933045357007343e-01
4.231739788126464563e-01 4.730674101032513734e-01 2.471758641231220679e+02 4.443883580624878073e-03 7.511640929148950363e+01 7.050718796989905002e+01 7.240102498251216323e-01 1.191824695027739606e-01
1.639872240243227530e-01 -1.167577178240924995e-01 2.495053535302885166e+02 3.960285005264936944e-03 9.180157339307113773e+01 7.045620480921000706e+01 7.174621042056230635e-01 1.081742763412562869e-01
1.366656322427423353e-01 2.397732794806428647e-01 2.471498108298217744e+02 4.610298536039060015e-03 9.158564788763420950e+01 7.045681021535162358e+01 7.175377410291963187e-01 1.089279675097470090e-01
1.249373892153189392e-01 4.950288978656308680e-01 2.404729046738700049e+02 4.614256059278421321e-03 8.231383901234407574e+01 6.987478771806996747e+01 6.922620763020438384e-01 1.198430950601325901e-01
2.385796919741576261e-01 4.352736928996527865e-01 2.506814195831208849e+02 4.813615333806028213e-03 8.839156934561732726e+01 7.059054638965662321e+01 7.153325149381227765e-01 1.130918616136262628e-01
1.786040238345467934e-01 2.174514757053958025e-01 2.454629345880798326e+02 4.453203028624793704e-03 8.619730257987936284e+01 7.057695744761943502e+01 7.162578008797432227e-01 9.392465307942619857e-02
3.254285637508455564e-01 7.153026358610221902e-02 2.468675686509811271e+02 4.171909939991676197e-03 7.581186674155857474e+01 6.973685503771444871e+01 7.116885218590695006e-01 1.148003620695281779e-01
3.308706274578014361e-01 2.061245367297349640e-01 2.530547081018336826e+02 4.461901834274178275e-03 8.668343938261870107e+01 7.088771154981941436e+01 7.179757586910960887e-01 1.256675023477467901e-01
4.682691808733886463e-01 1.654644622953730521e-02 2.388258841995321404e+02 4.231883025404037033e-03 7.139560902305959189e+01 7.150122531992383301e+01 7.041273578827419444e-01 1.167001313358757841e-01
4.088861058646879876e-01 4.586072269990639771e-01 2.344527386573465151e+02 4.194553614583364405e-03 2.179864018215099009e+01 7.083909181378352571e+01 7.133374969524058917e-01 1.030682133527804217e-01
3.756415336742218170e-01 1.797101525402208799e-01 2.479692350117128967e+02 4.335732763780515524e-03 8.051823045324620409e+01 7.075306336864593959e+01 7.120276999533904361e-01 1.163750011811287705e-01
1.872681559033617105e-01 -1.454195686363286000e-01 2.434725873883338636e+02 4.034958057429554115e-03 8.485586926746520930e+01 7.087451314706495964e+01 7.139859375761231641e-01 1.162444651631566461e-01
8.039296358748049265e-02 3.047292820576384398e-01 2.395696251483722392e+02 4.618617963267773047e-03 8.845563163847646138e+01 7.057673295869915364e+01 7.067688796850001287e-01 1.080213441166754523e-01
8.757337680974361382e-02 3.986468559808337697e-01 2.382315768066091834e+02 4.130790772052689644e-03 2.843976593334367209e+01 6.973962820581860456e+01 7.141136854265677236e-01 1.094911462354440507e-01
4.649764275949661574e-01 -1.185849462228110718e-01 2.484878257079992352e+02 4.026030213595490140e-03 7.585123693371824061e+01 6.958084060080972222e+01 6.882972956971147305e-01 1.103980573205735893e-01
2.249083956339629764e-01 1.701528782622233615e-01 2.495803346052351230e+02 4.525095251533601051e-03 9.306781204368594729e+01 7.121872496395772600e+01 6.960015120292393220e-01 1.096469444026374890e-01
2.561816821481497364e-01 -2.659184098311562217e-03 2.448942443251863210e+02 4.208636861366770419e-03 8.545477431822709491e+01 7.124386778538666931e+01 7.057886800419440609e-01 1.239088691354030408e-01
-6.445813216603138440e-02 2.947754758282825072e-01 2.363140589285088993e+02 4.128215467463898503e-03 6.345177714401366842e+01 6.898513072464194806e+01 6.848077188270144111e-01 9.978394486879103853e-02
3.014225283836472480e-01 -1.969287930460685843e-01 2.470593093138490985e+02 3.987004463152059829e-03 8.366262264473937194e+01 7.086052761420226886e+01 7.058887389637318321e-01 1.159562998905952352e-01
1.295258734507769571e-01 6.455721099029478049e-02 2.486490953370561670e+02 4.328858125512366657e-03 9.604463764710153839e+01 7.055472384990579826e+01 7.092698883382532182e-01 1.229988604062374757e-01
2.833646711195955126e-01 -3.319642015993254369e-02 2.467372946369955287e+02 4.152888114975969262e-03 8.131091762075752172e+01 7.057781202952855892e+01 7.172146073921004117e-01 1.043322440186173206e-01
2.678453090498577049e-01 1.364170508144371130e-01 2.466349061821930775e+02 4.226330471597708298e-03 7.877039356653827440e+01 6.969374564076377965e+01 7.057795990832054223e-01 6.168811298474734250e-02
7.236890697156717067e-02 3.363775941004359948e-02 2.411732920627060821e+02 4.163156207976990118e-03 8.488076185869837786e+01 6.972330421940894496e+01 7.059790141346669046e-01 6.549620846411428887e-02
2.449261976259787255e-01 4.879466171751589698e-01 2.491411349109188222e+02 4.896244143439505182e-03 8.876046342113922094e+01 7.065842402999577132e+01 6.998483324079165513e-01 1.113459168981942721e-01
3.789640285029844957e-01 4.146958957390284306e-01 2.430504479863000142e+02 4.404242409973614138e-03 7.692903457030007530e+01 7.029097597143578469e+01 6.816430759123993655e-01 1.236911651182286409e-01
4.866269809731319507e-01 -9.817582105360737887e-02 2.472558292617441680e+02 4.124329251110715050e-03 7.401967987741485899e+01 7.042878357248798693e+01 7.180467622528987626e-01 1.265070565933678060e-01
2.713829151022745800e-01 1.508768567977548936e-01 2.408780278834253465e+02 4.242035715296976935e-03 7.337360211760355355e+01 7.047098284809069924e+01 7.096239330092019015e-01 1.225156874297947673e-01
3.202529443254525932e-01 5.723030760657055183e-02 2.610255557039099585e+02 4.277489732702465311e-03 9.124146114940516838e+01 7.047701908206686028e+01 7.170627860534329878e-01 8.553098257623022171e-02
3.321066667505485626e-01 2.007346903534428240e-01 2.456756710730253133e+02 4.287785968020039681e-03 7.636703732636382824e+01 7.028485578798091638e+01 7.160009072903052996e-01 1.159073450530156563e-01
3.405672394489761001e-01 3.361205023872765318e-01 2.451883774137283183e+02 4.357039569636539378e-03 7.630536172577288312e+01 7.015389275512643508e+01 7.067254787166680208e-01 9.081023908517384113e-02
7.073498707910856609e-02 -1.651432546718689665e-02 2.540597931701134655e+02 4.112570040221539061e-03 1.127345945746909308e+02 7.098897946034571760e+01 7.248374382193700782e-01 1.083279597238519104e-01
2.216336394849339753e-01 4.125706516278384028e-01 2.394028112389735838e+02 4.364804493144980486e-03 7.278627646344456537e+01 7.058523279263189920e+01 7.114226162779374585e-01 1.094950574785965303e-01
1.319171570832327889e-01 1.265431273612104279e-01 2.515191849994896529e+02 4.577591590431918413e-03 9.927390906121462422e+01 7.109171437643681202e+01 7.277426692151233167e-01 1.203897842492208659e-01
1.903426837991885057e-01 1.965815372932215865e-01 2.490603308256438595e+02 4.325214040427334192e-03 8.644784813724618289e+01 6.873294363168238874e+01 6.737843560960675715e-01 1.120419075951376853e-01
4.023915417035042741e-01 2.986829381918655324e-01 2.460223303834655439e+02 4.345978284229239444e-03 7.685102850409042219e+01 7.034085615089296084e+01 7.014606441425810246e-01 1.093007979079380354e-01
2.951884967276347527e-01 1.097874548465851419e-01 2.450567373730475538e+02 4.223181006570553460e-03 7.868124352925961773e+01 7.011811118747186811e+01 7.004148084472255897e-01 9.524105468391944052e-02
3.853110885339691150e-01 -1.802607722608893237e-01 2.422896653506154223e+02 4.039377939870403104e-03 6.492247340476899353e+01 6.919779492699707646e+01 6.974947985079585910e-01 7.200311680613395715e-02
2.436301732999605618e-01 1.537945037811820626e-01 2.474856436792418037e+02 4.346886261677846384e-03 8.546699772742266532e+01 7.041601445221621702e+01 7.041448088382034065e-01 6.624883481383013473e-02
