# df dtau f tau ell mf af z
-3.686360661248175852e-01 1.476580269902207476e+00 2.398478307747357405e+02 4.067012707353684364e-03 1.650297029983964592e+01 6.673406829812867613e+01 6.617525743109257119e-01 1.089448208223915970e-01
1.123814085812810282e+00 8.782753169937085325e-01 2.535561342557608953e+02 4.095358397277718866e-03 2.331304043667412174e+01 6.669885292629138007e+01 6.641659321185913178e-01 1.037118531551229489e-01
1.272265971009811425e+00 -7.309593146794267637e-01 2.483030755890455055e+02 3.827657848477701661e-03 1.710094241521938230e+01 6.669258751915407402e+01 6.580051934334182340e-01 1.140610241368984201e-01
1.961752720610376644e+00 1.432381149796213116e+00 2.458567841911439871e+02 4.282649299151663862e-03 1.778612703606168211e+01 6.976675047618027747e+01 6.963564982914006718e-01 1.074732244645676821e-01
2.191668925882166719e-01 7.215577491231576213e-01 2.512727108055742065e+02 4.607090938846556370e-03 4.929060579700127676e+01 6.713473779658505691e+01 6.711410026671517093e-01 9.769354997332664603e-02
1.030827633353982975e+00 1.921028036880159107e-01 2.466017698592447402e+02 4.047001265304915781e-03 2.009660205816033596e+01 6.823675654270113000e+01 6.839769700347432257e-01 1.251206708620996033e-01
1.065512326075738869e+00 4.456446040961696831e-01 2.654889314155273610e+02 4.119536708005543113e-03 3.358285781525179914e+01 6.681819879614549507e+01 6.750385156978685464e-01 5.996746410871860861e-02
9.667119974157993845e-01 -5.275009893749427192e-01 2.601520138758177723e+02 3.712598761902378974e-03 3.129692715255584190e+01 6.662288518109269830e+01 6.641686700551134859e-01 8.443852147133226738e-02
4.193268383929147358e-01 5.450481240052743592e-01 2.432796027453199486e+02 4.003613501456158331e-03 1.496596738723952669e+01 6.730570212647495509e+01 6.760055893952051642e-01 5.902531525557787317e-02
-5.294814884328239435e-01 1.769772514403710417e+00 2.424120655384409417e+02 3.955088506255971872e-03 7.536070120390954585e+00 6.668655965601118396e+01 6.698082018168323160e-01 8.061895598199561586e-02
1.962446719185242383e+00 1.898789583728680341e+00 2.472421696744956137e+02 3.984033398953085517e-03 1.007056764349746913e+01 6.657213153991473575e+01 6.706752432410297837e-01 1.184071157739048225e-01
4.918356144963765830e-01 -1.072597145120156803e+00 2.417042709760098376e+02 3.917836800903439984e-03 1.738532829296669036e+01 6.850536395074007601e+01 6.894181168199353671e-01 1.278387085319380445e-01
-4.250293606013904046e-01 -9.045034833360858784e-01 2.402841993520391384e+02 3.805710420034878749e-03 1.768213086466246153e+01 6.665395430473736837e+01 6.674420009112284058e-01 1.129708493129467500e-01
9.069198613606510584e-01 1.939708632996782534e+00 2.524210596562390094e+02 4.350724810250936915e-03 2.422117746683283457e+01 6.672946224732615406e+01 6.675557234582186750e-01 9.053091140149543969e-02
7.359048545946295095e-01 4.967742338759455478e-01 2.624696657451440274e+02 4.193820765022810738e-03 3.709558630039988003e+01 6.686101160961163714e+01 6.799248204321203248e-01 1.066252201399863347e-01
1.238934538743056146e+00 -4.526044103714648159e-01 2.446025623047601130e+02 3.933301313022749372e-03 1.229994599660677501e+01 6.734957070308003324e+01 6.744212740840563880e-01 1.230458637057478127e-01
1.990055105270881031e+00 -6.884611047268363038e-01 2.646994995277442513e+02 3.870615218619007005e-03 2.759646346786688298e+01 6.884828789873017740e+01 6.970704935254065093e-01 9.104203195148873051e-02
1.875081845494903865e+00 -1.086198709899996562e+00 2.532350959905198806e+02 3.928517026673840513e-03 2.425526596567218363e+01 7.030157723049322271e+01 7.091561995246236094e-01 1.072310066212404517e-01
1.067302412332289674e-02 1.944504000092732054e+00 2.373737151811774311e+02 4.553138243291194459e-03 2.648888012115782686e+01 6.879266998511815245e+01 6.825278788481122794e-01 1.041011311280025942e-01
1.781149758826646501e+00 8.330975294533553566e-01 2.539321007200709062e+02 4.231483432097402422e-03 2.329422246260384100e+01 6.896051206176244364e+01 6.897952293896815190e-01 1.137963860515700948e-01
6.034038082038664097e-01 -1.598926411435348527e-01 2.580145597348194997e+02 4.162217743531102312e-03 5.860789988389652194e+01 7.326892338121189141e+01 7.301118199962105537e-01 9.817097905452508433e-02
