# df dtau f tau ell mf af z
2.952206666788568384e-02 8.552657218695677854e-02 2.492280967601259931e+02 4.163248806489040950e-03 1.000000000000000000e+00 6.578869368821671060e+01 6.515784089838019266e-01 1.050941645238177707e-01
9.441728533439157356e-02 7.123903630521288832e-03 2.626760572215516731e+02 3.845104987021524638e-03 1.000000000000000000e+00 6.528098697411695639e+01 6.480528941323043801e-01 9.707953464101172492e-02
2.909882524499361744e-02 6.342640951646139058e-02 2.503732952745708360e+02 4.078862029120619050e-03 1.000000000000000000e+00 6.566758066803379279e+01 6.572710522897559082e-01 9.590659248286366456e-02
9.134164392119799303e-02 9.094046088936935668e-02 2.611256876644271188e+02 4.240055728462033269e-03 1.000000000000000000e+00 6.644105511872191983e+01 6.744949065198718730e-01 9.514226752302079593e-02
1.659019093146508472e-01 2.944735635642199423e-01 2.706532328202661688e+02 5.058281801559279429e-03 1.000000000000000000e+00 6.739052289134011176e+01 6.727220312966065707e-01 1.213650514353654952e-01
2.103951576174994259e-02 1.834890389830756696e-01 2.488962557982822261e+02 4.506571749939824664e-03 1.000000000000000000e+00 6.556576122027576048e+01 6.544475562966869386e-01 1.078149804996688110e-01
1.192470696702947475e-01 -7.046063141719760559e-02 2.608407942982979648e+02 3.777854839703326164e-03 1.000000000000000000e+00 6.855519030016999693e+01 6.954594574048286182e-01 1.053308794790371733e-01
9.517379402858738846e-02 2.383151856722418860e-01 2.607046112198083279e+02 4.770172789037023693e-03 1.000000000000000000e+00 6.637492905433897761e+01 6.642820398994688791e-01 1.142978965799401753e-01
5.479821427618965929e-02 1.263161625207784855e-01 2.532065798115073108e+02 4.424679572134616531e-03 1.000000000000000000e+00 6.716635478738420773e+01 6.845084161973886694e-01 1.018946931029703490e-01
7.726507780956014260e-02 1.168010717710865620e-02 2.586277514441276253e+02 3.911371673802388309e-03 1.000000000000000000e+00 6.596600076097135457e+01 6.614645906596866576e-01 9.782568313795432513e-02
1.840228858353274988e-01 -7.184859987132061199e-02 2.665165264573917625e+02 3.863305703217984315e-03 1.000000000000000000e+00 7.017934411607461698e+01 6.978626969685333137e-01 1.141325398980874428e-01
