# mf af
6.532879671165306945e+01 7.158256791364515648e-01
6.640818442345630501e+01 7.159272546590171871e-01
6.558958709321328229e+01 6.904008227087826688e-01
6.515155717961691550e+01 6.878787150191367772e-01
6.512015702458927535e+01 6.870452802070984299e-01
6.506624566831482070e+01 6.888653832038463820e-01
6.486953229653092023e+01 6.912968289624433771e-01
6.506957569886262149e+01 6.966406945981367116e-01
6.495642100309225953e+01 7.006387909972456862e-01
6.492318316750620966e+01 7.024439556764902060e-01
6.414551961752547982e+01 6.647284820085568313e-01
6.282674022626966348e+01 6.783969707321407805e-01
6.589551961880307829e+01 6.758232204201436444e-01
6.804677230652588094e+01 6.321844652752087734e-01
6.682690729629348425e+01 6.472892459644382646e-01
6.633309518030512208e+01 6.556445349955701829e-01
6.622275403940317062e+01 6.532102602763969479e-01
7.339592678906180367e+01 6.530710850696287428e-01
6.601234082735439301e+01 6.408605890428892282e-01
6.329907191399158251e+01 6.715742187966301513e-01
6.889777344511942658e+01 6.632925103809620415e-01
5.939670192103533708e+01 6.071667087958477760e-01
5.916499070468822197e+01 6.080248760183657453e-01
6.460835791258490701e+01 6.624003352596047334e-01
6.355269487775802162e+01 6.641070513287060662e-01
6.335764172129807292e+01 6.630630651660857078e-01
6.389065905921752631e+01 6.780515440415703088e-01
6.370619163395853946e+01 6.761909209389336262e-01
6.309812388720256138e+01 6.709804306039899302e-01
6.278848805700355484e+01 6.670347493772373904e-01
6.231059577322140797e+01 6.668498921487077125e-01
6.986914440074897925e+01 6.294134135355317072e-01
7.013361979111337519e+01 6.366676509574752396e-01
6.984005408615679755e+01 6.387998758432932300e-01
6.854852498324785870e+01 6.453143463939702285e-01
6.411350027792241235e+01 6.979283718816460258e-01
7.115906580668641368e+01 6.273166771771639949e-01
6.990524659166547394e+01 6.368189982543593919e-01
6.377344795374520459e+01 6.512739507525943106e-01
6.315848803474278128e+01 6.890806765627891517e-01
6.704266334093055946e+01 7.095625516201092831e-01
6.624655948622273627e+01 7.150445293619388520e-01
6.641052075008423117e+01 7.162687747568762253e-01
6.665323336252698994e+01 7.163971769194671380e-01
6.724989713644382050e+01 7.279490471361557136e-01
6.697459060798502151e+01 7.264245214468504352e-01
6.718348664764195632e+01 7.245226271633544712e-01
6.709892576084271809e+01 7.193020251483835947e-01
6.722257230000298023e+01 7.181823830090831029e-01
6.607745755051615788e+01 7.329657411498415875e-01
6.637692701654950156e+01 7.345876601641657677e-01
6.719996572317583627e+01 7.370636185735777168e-01
6.652615138077294432e+01 7.370529984304196036e-01
6.638335452322729680e+01 7.344362513080086030e-01
6.590638482136770904e+01 7.303435077789940388e-01
6.616784804431296152e+01 7.267498707282391557e-01
6.407739156073020581e+01 7.014955125176806083e-01
6.415665247064197274e+01 7.031815747193088662e-01
6.524608527930500657e+01 7.254695224174186885e-01
6.541185515513501514e+01 7.301268566654594006e-01
6.564809740669554117e+01 7.310952017981180440e-01
6.501356747997797925e+01 7.251246667641656485e-01
6.497893970563110599e+01 7.234980938339049539e-01
6.493168285463835332e+01 7.218354469022661979e-01
6.569907685201366121e+01 7.221948672897791077e-01
6.740245720969296883e+01 7.399404957569667429e-01
6.718728944261388847e+01 7.399181935186688319e-01
6.515912070072975837e+01 7.190511753505267611e-01
6.727538302663315051e+01 7.426925975252808287e-01
6.604055150171913624e+01 7.329152927308465459e-01
6.547260854994681267e+01 7.078905141367775045e-01
6.538263693148894617e+01 7.291488865842886691e-01
6.137783788309208433e+01 6.497536188631644061e-01
6.534077982685840880e+01 7.219599966198422258e-01
6.534437977861612978e+01 7.206208709486690012e-01
6.529997826129820737e+01 7.186572909069943726e-01
6.527063773475458675e+01 7.186944407228582632e-01
6.511980798445978280e+01 7.164327642229687543e-01
6.510665800571790385e+01 7.163016695098285425e-01
6.511420643568214928e+01 7.150561787300918626e-01
6.508178650499482387e+01 7.148459537402912511e-01
6.511804410484356254e+01 7.156371192968521422e-01
6.509080937425088109e+01 7.154443978668169057e-01
6.513872175560285882e+01 7.164623405067768180e-01
6.479835388030126353e+01 7.149630984342513207e-01
6.497461196708256637e+01 7.185590571093420920e-01
6.138956375072920935e+01 6.557422641725186852e-01
6.388600506579906835e+01 6.458909909880522493e-01
6.373422672963149438e+01 6.918949734352081160e-01
6.384228795437854842e+01 6.920730038479772084e-01
6.394764272467310207e+01 6.988596017945951644e-01
6.378908345485476161e+01 6.957579380963756499e-01
6.429309540699051695e+01 7.035981910930501071e-01
6.308307074185849928e+01 6.957230790417422428e-01
6.342046908058397037e+01 6.912183258631466876e-01
6.326217371499006248e+01 6.914747691978723187e-01
6.336231369078770115e+01 6.930816823166839891e-01
6.332066094203803175e+01 6.921199275940339568e-01
6.435885817222239780e+01 6.945531948313016235e-01
6.412541779290023669e+01 7.011598110623543656e-01
6.426804176598518836e+01 6.996098383258800846e-01
6.180399708767093614e+01 6.447928307629603450e-01
6.964573347943905901e+01 6.031124940196287421e-01
6.894708144432561880e+01 6.203211839752593715e-01
6.421545062955382832e+01 7.069633435583542180e-01
6.840528644518234103e+01 6.413032559653164544e-01
6.377304805973093949e+01 6.981867632200087215e-01
6.350363787693773787e+01 6.993262313754290416e-01
6.919655608303263250e+01 6.354480785575233881e-01
6.851326923758429643e+01 6.431725667612216979e-01
6.070260000258161881e+01 6.671456586453311521e-01
6.231185920043053983e+01 6.849799790194764926e-01
7.013519672833314189e+01 6.386467537257306537e-01
6.252553555043769506e+01 6.823921653836974022e-01
6.232751675468832531e+01 6.774424418148715654e-01
6.243038930009289800e+01 6.772711946622878010e-01
6.258921976673896381e+01 6.760170831366117961e-01
6.243364226620313673e+01 6.755139603968253192e-01
6.304052517220354446e+01 6.770833281669661474e-01
6.283052234061375430e+01 6.750345262313682815e-01
6.283991474968369317e+01 6.749035408150132476e-01
6.293718223859798400e+01 6.749871730073264686e-01
6.455430891023848972e+01 6.933211110578531011e-01
6.460550387058454191e+01 7.013456075265404044e-01
6.483426869638279300e+01 7.050797782512850942e-01
6.486067519774373125e+01 7.079703206666132509e-01
6.493542448410502743e+01 7.093947984571958854e-01
6.372403990719800504e+01 7.036140949629973163e-01
6.297599471064255994e+01 6.981844700398690540e-01
6.286755551131784614e+01 6.961870389757193189e-01
6.562390094739170365e+01 7.256595055513225256e-01
6.556253200345264531e+01 7.225224786246254860e-01
6.539584684989233665e+01 7.142795917000434036e-01
6.525414873303429886e+01 7.119580356534079835e-01
7.423136996639041740e+01 8.008228543194725324e-01
6.620734348323512108e+01 7.226025206619762775e-01
6.631779759373350203e+01 7.258358879973053623e-01
6.587340450089442356e+01 7.125502720369064624e-01
6.571791305027042540e+01 7.126259607598042223e-01
6.585514229978710432e+01 7.114095225736942751e-01
6.575421634924416026e+01 7.101140574238504755e-01
6.572036712723013352e+01 7.098101222129628018e-01
6.569593887571633672e+01 7.113776097115582786e-01
6.266740931547210636e+01 6.707752800438134821e-01
6.579108949016210772e+01 7.131119919488417835e-01
6.247492143326697089e+01 6.575974464249757512e-01
6.609122091714766611e+01 7.154433715413900385e-01
6.625527367663218570e+01 7.157701458690691743e-01
6.638009443705061585e+01 7.423599386932383526e-01
6.515248888822742401e+01 7.125825326362935641e-01
6.534430228941639029e+01 7.168201816371375656e-01
6.521328310512349447e+01 7.133952565032976034e-01
6.567617086150019645e+01 7.154053180118644661e-01
6.409432880463256765e+01 7.041108727767581010e-01
6.415755614024483577e+01 7.079402577613080894e-01
6.390242002405791766e+01 6.973829708885018741e-01
6.927453984638890461e+01 7.551960595500574192e-01
6.379902028357959409e+01 6.969625215659666084e-01
6.380306325299059722e+01 6.982850764842797320e-01
6.368063446682975837e+01 6.921242978327676321e-01
6.225176132040894572e+01 6.617000534139855228e-01
6.881734666910054443e+01 7.435105345926622533e-01
6.285871439481889666e+01 6.690382595087184248e-01
6.276004501800159829e+01 6.684294717443474143e-01
6.158297023122002400e+01 6.580271927968454060e-01
6.641174802627284635e+01 7.088157406883386358e-01
6.607777082088318821e+01 7.117507634990080101e-01
6.158820327480734136e+01 6.378328746387468273e-01
7.116493365336131660e+01 7.246406334066760602e-01
7.126609075910143076e+01 7.207732969269001755e-01
7.133349078193005255e+01 7.108832347653244454e-01
7.066448968653746476e+01 7.135157714644272398e-01
7.054187065111183585e+01 7.125031598865870786e-01
7.078806184107507704e+01 7.207233559649032228e-01
6.966366858027942044e+01 7.188801581835222443e-01
6.968574948441894890e+01 7.185495839119582229e-01
7.021231274789226973e+01 7.166864013404570244e-01
7.021150709063694251e+01 7.171808567309824189e-01
7.116032443817542230e+01 7.077875971610283479e-01
5.955556219051719324e+01 6.136573713422615040e-01
6.792009142686846701e+01 7.295905060046998791e-01
6.038277879703128548e+01 6.157510914951277448e-01
6.080834556297203619e+01 6.342329891657420005e-01
6.090915755647983332e+01 6.359724672447667482e-01
6.082668738524174046e+01 6.312376100608304563e-01
6.093843586874903906e+01 6.297718686781778041e-01
6.420188067019391553e+01 6.935469675362552211e-01
6.442120654382475209e+01 6.859408976876104624e-01
6.373641622402656282e+01 6.699360889706365008e-01
6.379506857979639278e+01 6.762958789898343426e-01
6.425569390660929514e+01 6.749845488309746955e-01
6.886034471249973876e+01 6.064272175168420320e-01
6.473876685875714543e+01 6.709462468623957898e-01
6.463464518117842772e+01 6.675769495960505173e-01
8.378604468841885478e+01 6.832110505879066542e-01
8.314551857740465834e+01 6.833655155790993030e-01
7.913495956020277333e+01 6.725993605528746144e-01
7.823612270043983585e+01 6.801087167627621888e-01
7.825775991452880476e+01 6.800781102980213433e-01
7.836523389970874121e+01 6.793714056126037848e-01
7.876408823502242740e+01 6.768081876960159171e-01
7.846321178560130249e+01 6.827266476216885538e-01
6.772446215613388176e+01 7.065320960556569219e-01
6.715675226279094545e+01 7.069887206086463705e-01
6.728196462965050273e+01 7.028351535220367374e-01
6.747807232998675886e+01 7.048760872586109505e-01
6.790909794734585603e+01 6.997930122321857072e-01
6.793208960067680380e+01 7.056211323310935812e-01
6.508744923702496976e+01 7.128371986383102987e-01
6.525038497525933678e+01 7.085016098147921548e-01
6.478680775643266543e+01 7.029739354029103104e-01
6.465152138801443016e+01 7.002169366513250059e-01
6.539843463141755819e+01 6.976112268152965257e-01
6.542585775760849742e+01 6.992560760980269796e-01
6.540563915883029722e+01 7.225582340192229225e-01
6.532258461300023100e+01 7.233791475181359232e-01
6.554994032650847657e+01 7.190456122827574292e-01
6.567148110938535410e+01 7.229805589218618600e-01
7.603671036845202025e+01 6.275493894688055629e-01
6.639749786157122458e+01 7.222916100628556935e-01
6.594112011049418243e+01 7.232152644154364873e-01
6.666781172163794622e+01 7.198347194258460924e-01
6.254898711371080111e+01 6.838365481415925595e-01
6.674154736880780092e+01 6.819727765539770337e-01
6.849708970359777993e+01 6.755760229999286937e-01
6.684629850456792610e+01 6.741591464733622807e-01
6.679762728960818663e+01 6.821875323237076572e-01
6.693501928696491632e+01 6.829744629455097860e-01
6.690379070613097667e+01 6.871529536674786387e-01
6.254255537868215242e+01 6.854221009378539398e-01
6.256325232021762872e+01 6.845017280385649050e-01
6.255794752992539998e+01 6.848204740714773919e-01
6.241109692959845034e+01 6.833735965766635223e-01
6.242085009853903443e+01 6.824307354397705083e-01
6.016101225885699932e+01 6.625911174780004798e-01
7.683801101726598404e+01 7.433983327119073614e-01
7.741756330271272191e+01 7.445773158004062031e-01
6.078460667124996064e+01 6.523141272528844015e-01
6.214425457483685022e+01 6.771367607708369540e-01
6.441700284611742688e+01 7.091409852846939366e-01
7.539235347238937379e+01 7.591523831034664438e-01
6.477274974862751833e+01 7.165698572749135131e-01
7.571848742606113092e+01 7.647795636286763843e-01
6.494001171955841301e+01 7.141650156123037219e-01
6.454822961892307376e+01 7.193460719016723237e-01
6.476300876436943099e+01 7.195393381363652807e-01
6.407876219217679647e+01 7.069018158001316721e-01
6.205658333007612271e+01 6.850459725108049014e-01
6.203850430395741000e+01 6.863835076971330773e-01
6.351688419260686658e+01 7.056223592432995240e-01
6.307949964311910662e+01 6.876946408806675626e-01
6.365338070543334936e+01 6.979846408548495695e-01
6.439545072073443066e+01 7.059454431180144374e-01
6.496505956926372960e+01 7.175451717703125176e-01
6.673477918301759360e+01 7.195943887128913863e-01
6.804992984675044454e+01 7.149884919488385115e-01
6.802059413100168683e+01 7.174065522479587953e-01
6.604793876653160112e+01 7.088125317955012994e-01
6.679487258100213865e+01 7.124997219050631658e-01
6.802238405199632609e+01 7.114280668906288740e-01
6.721227117769848292e+01 7.108753490302790468e-01
6.762754652213455131e+01 7.231492332877108575e-01
6.647919296741791584e+01 7.343272518887736799e-01
6.720588771787345195e+01 7.279254694374895918e-01
6.804617910075040754e+01 7.166846999579710165e-01
6.848546340545637179e+01 7.151784032938097724e-01
6.814925583579167778e+01 7.216561362892613962e-01
6.837311279371090222e+01 7.152212907594838187e-01
6.711886733920391634e+01 7.207999726157979792e-01
6.547296804133719661e+01 7.203698821173105671e-01
6.548307409766509579e+01 7.325003459733750999e-01
6.554298555083035183e+01 7.330286326282026144e-01
6.534082622033383814e+01 7.284656504021360668e-01
6.548828665683097938e+01 7.312537502744124174e-01
6.551569093923104958e+01 7.307493236343849397e-01
6.610642407074394100e+01 7.229282957846865365e-01
6.591332196061139825e+01 7.261619041270437336e-01
6.501888970104891996e+01 7.262374502927265718e-01
6.503832913541215532e+01 7.262911996021519379e-01
6.510478109818160419e+01 7.258924782249168706e-01
6.517652005518510805e+01 7.276056893287720095e-01
6.491973769150114038e+01 7.196952973965401457e-01
6.498730662100561517e+01 7.139682392234804054e-01
6.464750344328314213e+01 7.187482536081110096e-01
6.471208268933318664e+01 7.193484269000798292e-01
6.468809343237489884e+01 7.188203026265956863e-01
6.418552564809212413e+01 7.095209639112748379e-01
6.487526135698055896e+01 7.154865803348702258e-01
6.482180185875741074e+01 7.127787138238095288e-01
6.478400503474136940e+01 7.159101103851531755e-01
6.540442640797547824e+01 7.214936996163737737e-01
6.629055711006421348e+01 7.378343333562940032e-01
6.627590822287722006e+01 7.384305388996125208e-01
6.651538787229448246e+01 7.432308759201541326e-01
6.660897526349178577e+01 7.407333744443445056e-01
6.632835694286160333e+01 7.393722660976730365e-01
6.593480952523285055e+01 7.342715595503159776e-01
6.600846783889450364e+01 7.332234210342121195e-01
6.595378512278367111e+01 7.322509736756112053e-01
6.660946561382483821e+01 7.102974720396080244e-01
6.639510868926976173e+01 7.085506259930043349e-01
6.644859705345649559e+01 7.078449890382066956e-01
6.607291649106640818e+01 7.065908735228113580e-01
6.603339559182363416e+01 7.130908228323873388e-01
6.654566966063674727e+01 7.115363798018016217e-01
6.597244922087770647e+01 7.155865892075011780e-01
6.639968882606792988e+01 7.315746185875552365e-01
6.619950101834939460e+01 7.278487740741201861e-01
6.511778550416232747e+01 7.173174975006851861e-01
6.488756095721863915e+01 7.153125879425977773e-01
6.540114263978560416e+01 7.050609617887865221e-01
6.548568854654919846e+01 7.289268222130562691e-01
6.561598848701578390e+01 7.230432539736050268e-01
6.564874885987052267e+01 7.237472598434891990e-01
6.565039189282649090e+01 7.235885582883466727e-01
6.585770504788425228e+01 7.177069993867858377e-01
6.592673860195156976e+01 7.202400219369877732e-01
6.587775512600020988e+01 7.215078459604407080e-01
6.592780769151582376e+01 7.181867384022848633e-01
6.584264002733127086e+01 7.198614386950686894e-01
6.581243371040363854e+01 7.332950172556627066e-01
6.582156644250157740e+01 7.337261278802457154e-01
6.529820470678774313e+01 7.290767053735817127e-01
6.539276658854788593e+01 7.300184149205408701e-01
6.534514896132564843e+01 7.248451180304963382e-01
6.540826834045276428e+01 7.298678072304753961e-01
6.532513292120157189e+01 7.298548303589802444e-01
6.590231583907268487e+01 7.347003197259294183e-01
6.597264063484712437e+01 7.407890386996521803e-01
6.599216289778610189e+01 7.382573926261706276e-01
6.575982252680304896e+01 7.344721478394697911e-01
6.622052355353031317e+01 7.388404015618510456e-01
6.634399186504518298e+01 7.402731342148879401e-01
6.628407769264767069e+01 7.321190920809520497e-01
6.624502617262079696e+01 7.312087145889512030e-01
6.628283006366109475e+01 7.313047909128131963e-01
6.620149964118489549e+01 7.309297362145400490e-01
6.592572352396281588e+01 7.244426499925644691e-01
6.594625614745785924e+01 7.251260756835465893e-01
6.593407762167794317e+01 7.226167428895512446e-01
6.554626709449432553e+01 7.107444206400300724e-01
6.674753728785324824e+01 7.088508511690368996e-01
6.658692535313255689e+01 7.122525617178047108e-01
6.662778565232230221e+01 7.148817560812928962e-01
6.614113903419655571e+01 7.183714258389496399e-01
6.614181842400941491e+01 7.193059751257003809e-01
6.594315108065978848e+01 7.254140104329390715e-01
6.552094023934779443e+01 7.183285383389733658e-01
6.295346498156371950e+01 6.641001941267427044e-01
6.593280450630271616e+01 7.326053116854717162e-01
6.767401283224054964e+01 7.240394298761584357e-01
6.946997683779019894e+01 7.177777075420662678e-01
6.533724744080089408e+01 6.837564599337220272e-01
6.539200365415887006e+01 7.091422090967816061e-01
6.465126450267615610e+01 6.821602243070881144e-01
6.422885731999639347e+01 7.028945055790916108e-01
6.480300395629902255e+01 7.100504192455815433e-01
6.427569173108966538e+01 7.038431476737735393e-01
6.431128875899366903e+01 7.036684347578043841e-01
6.441270684882543662e+01 7.039773610080044541e-01
