	maP	maxL	KL	stdev	mean	median	stacc	injection	value
dist	857.957141170108	657.754866417423	None	282.999927094	922.4775435633996	885.6108304938803	None	None
chain	13.0	10.0	None	5.76529046508	9.387721369539552	9.0	None	None
v1_end_time	1245955943.1742964	1245955943.1745095	None	0.00259061108758	1245955943.173866	1245955943.17416	None	None
f_ref	20.0	20.0	None	0.0	20.0	20.0	None	None
l1_optimal_snr	15.547326108371209	15.225615229619146	None	0.998462734784	14.691780565699473	14.685874347706221	None	None
v1_spcal_freq_5	121.15089303884164	121.15089303884164	None	2.84217094304e-14	121.15089303884162	121.15089303884164	None	None
sky_frame	1.0	1.0	None	0.0	1.0	1.0	None	None
mc_source	25.20102498854495	26.36894995671054	None	1.31645296619	24.633557169216346	24.64501472375455	None	None
v1_spcal_amp_9	0.042872630884247837	0.06554920608358952	None	0.0502158870058	0.0010081502297412147	0.0012955108620303878	None	None
v1_spcal_amp_8	-0.022104710987012083	-0.06215992440905937	None	0.0504001330945	-0.00017967020173382674	0.0001247250075477696	None	None
v1_spcal_amp_1	-0.05386131209735599	0.050564695150055114	None	0.0500324654451	0.005917617088392442	0.006129642668141533	None	None
v1_spcal_amp_0	-0.014987775878197431	0.10653500186053058	None	0.0503003991318	0.0012910050951812936	0.0014375614330932943	None	None
v1_spcal_amp_3	0.012266346716266252	-0.11647964935385965	None	0.0491829367943	-0.0029071828045809773	-0.003015634912250904	None	None
v1_spcal_amp_2	-0.014776955970801954	-0.0397253219271078	None	0.0506039060537	0.0030612560974374887	0.003053488626037485	None	None
v1_spcal_amp_5	0.043187789990673825	-0.05528123977002351	None	0.0501367848929	-0.002427815506833002	-0.002167258026155708	None	None
v1_spcal_amp_4	-0.013622140269442574	0.0021221494965984024	None	0.0501083381065	0.002461518916401918	0.0024725583160898085	None	None
v1_spcal_amp_7	-0.0075610472077752705	-0.018306539043613467	None	0.0495455619605	-0.0008454124813442273	-0.0006827774016202673	None	None
v1_spcal_amp_6	0.0049924842400430585	-0.08745724472162822	None	0.0500567111394	-0.008072349124894398	-0.007647994547388825	None	None
psi	1.7523582992732893	1.5929828151455163	None	0.579716651582	1.5458530795324	1.5763384086287107	None	None
costheta_jn	0.7537501972361003	-0.006464049413597437	None	0.657005936364	0.21436182396535683	0.40903495932114764	None	None
l1_cplx_snr_amp	15.336443736663005	15.489605527226633	None	0.152638358308	15.150725626187784	15.162798305190467	None	None
l1_cplx_snr_arg	0.024068821886039267	0.020132570411188006	None	0.0672340197302	0.001139742197875004	0.001128135356239408	None	None
t0	1245955943.1742961	1245955943.1745095	None	0.00259568200846	1245955943.1738677	1245955943.1741624	None	None
lal_approximant	94.0	94.0	None	0.0	94.0	94.0	None	None
e_rad_evol	2.7448667427169937	3.049334057454871	None	0.313651703489	2.711362949618836	2.7230738760575406	None	None
lal_amporder	1.0	1.0	None	0.0	1.0	1.0	None	None
psdscaleflag	0.0	0.0	None	0.0	0.0	0.0	None	None
logl	-7863.76985827482	-7860.7473190576075	None	3.14894162345	-7869.4046686356405	-7869.112754457674	None	None
v1h1_delay	-0.006531953811645508	-0.005003213882446289	None	0.00635900478526	-0.0015363503656533701	-0.004108548164367676	None	None
l1v1_delay	-0.0016868114471435547	-0.0011458396911621094	None	0.00250187405821	-0.0020779553945962483	-0.00182342529296875	None	None
loglv1	9.627715996773077	10.280910043919903	None	1.65776317466	7.812006468805542	8.18860738058629	None	None
ra	5.945442437050045	5.913827918393193	None	1.24259408072	5.202571747287124	5.873759162901841	None	None
l1_end_time	1245955943.1759832	1245955943.1756554	None	0.000597232169257	1245955943.1759439	1245955943.175939	None	None
af_evol	0.6900423938284734	0.708915032406638	None	0.0372453239416	0.6865009272136301	0.6902889911639727	None	None
mf_source_evol	57.62328951081035	58.46291689289141	None	3.26266646559	55.513434916806396	55.36531834428462	None	None
domega220	-0.014930288531320338	-0.10144301790607382	None	0.12088035375	-0.05585001811989051	-0.05246705346294472	None	None
mf_evol	67.57760154590372	66.38556867669865	None	3.2714234924	65.58927662159981	65.11938244326743	None	None
segmentlength	8.0	8.0	None	0.0	8.0	8.0	None	None
ntemps	8.0	8.0	None	0.0	8.0	8.0	None	None
l1_spcal_freq_2	41.110110613019344	41.110110613019344	None	1.42108547152e-14	41.11011061301933	41.110110613019344	None	None
l1_spcal_freq_3	58.93970667180533	58.93970667180533	None	1.42108547152e-14	58.93970667180532	58.93970667180533	None	None
l1_spcal_freq_0	19.999999999999996	19.999999999999996	None	0.0	19.999999999999996	19.999999999999996	None	None
l1_spcal_phase_5	0.03170656854363691	0.0015058962828330942	None	0.0234621296902	0.002252227334513225	0.0023905428199432303	None	None
l1_spcal_freq_6	173.6944511279228	173.6944511279228	None	2.84217094304e-14	173.69445112792283	173.6944511279228	None	None
l1_spcal_freq_7	249.02633068464272	249.02633068464272	None	0.0	249.02633068464272	249.02633068464272	None	None
l1_spcal_freq_4	84.50205973073435	84.50205973073435	None	0.0	84.50205973073435	84.50205973073435	None	None
l1_spcal_freq_5	121.15089303884164	121.15089303884164	None	2.84217094304e-14	121.15089303884162	121.15089303884164	None	None
h1v1_delay	0.006531953811645508	0.005003213882446289	None	0.00635900478526	0.0015363503656533701	0.004108548164367676	None	None
l1_spcal_freq_8	357.0299049368293	357.0299049368293	None	1.13686837722e-13	357.02990493682944	357.0299049368293	None	None
l1_spcal_freq_9	511.87499999999966	511.87499999999966	None	1.13686837722e-13	511.8749999999998	511.87499999999966	None	None
