# mf_modGR af_modGR
5.087872171895480733e+01 6.264313727988881642e-01
5.242657427463230135e+01 9.200167980172818671e-01
4.531816436657366154e+01 2.407570286099646184e-01
5.983824228357843822e+01 5.478454222395661155e-01
6.297290008056018706e+01 7.538667363044148084e-01
5.238309402836755879e+01 7.438786754268502666e-01
5.107521155344623764e+01 5.317997152041500364e-01
6.645332229883294417e+01 6.408456413528060835e-01
5.862733298639565760e+01 7.322953903706803658e-01
5.549684416362764239e+01 7.723528174278545544e-01
5.716247478639021296e+01 5.550081207623820401e-01
7.455082181558154275e+01 8.014453909241538998e-01
4.608716318229013353e+01 5.733535081770466668e-01
3.813168017284024103e+01 -4.773796391797537897e-01
4.116821299536921686e+01 3.438479058678104439e-01
4.334783072949241500e+01 8.608263854879594223e-02
3.632169468057419692e+01 1.839634527137778974e-02
3.234124322969614695e+01 7.915834511666617335e-01
4.182897630707255843e+01 9.002170493400111217e-01
3.193638819176736021e+01 7.192165034014651459e-01
3.053941177555228137e+01 -2.123338108673598512e+00
3.626092775597155082e+01 9.464803352769787237e-01
4.177015768258923600e+01 9.818561553403573061e-01
3.943685562150639612e+01 9.729362103319669774e-01
4.072504186648443181e+01 9.782380144076207040e-01
2.487279537480041824e+01 3.082584374035509667e-01
2.893240347183175487e+01 -1.054635341607716992e-01
3.618856480832857159e+01 9.428906134151591178e-01
4.918945780235881671e+01 2.863510720443779300e-01
7.328801905944587247e+01 8.832040188434696626e-01
8.423568157334466378e+01 8.679651557803477191e-01
9.415635094180298381e+01 9.464821809943666509e-01
7.932516340983630698e+01 8.387470835527327528e-01
8.751563324394950882e+01 8.960108626254023045e-01
3.672360697340580060e+01 9.678473493869388378e-01
8.037871966158644454e+01 8.396159258687626581e-01
6.232694414015654161e+01 8.153828821293549467e-01
3.327981693523118878e+01 2.976232398711792237e-01
-1.625981796259809187e+01 -1.731610885812312262e+01
1.019498061323951106e+02 9.804511387465441041e-01
9.317034460882589997e+01 9.589172675286271597e-01
5.769146050708295093e+01 5.436677138157020028e-01
8.424233516505809405e+01 9.263725704552592255e-01
8.270569431885398615e+01 9.052277193595243965e-01
8.209947835599129462e+01 9.084792003668915594e-01
7.153311219885564753e+01 7.577524593949498399e-01
8.101233662815546666e+01 8.650560835502251189e-01
7.881290788445865303e+01 8.541400841292002832e-01
8.807627629329427066e+01 9.262708204890494068e-01
1.001267216191071867e+02 9.725485342765363139e-01
8.312539505670598317e+01 8.963306207986291296e-01
7.520821781482734991e+01 8.078749559366521504e-01
8.696887967402028607e+01 9.238009094029502322e-01
9.445814006448071609e+01 9.579332561312992045e-01
5.700457358796315077e+01 6.533659010393189082e-01
5.199705298933524489e+01 5.528785674398670746e-01
7.002648049738225211e+01 7.821371837431815299e-01
5.096053519593957049e+01 3.566097236354774935e-01
6.317641536854354456e+01 5.579373929989479564e-01
3.986918098461605808e+01 5.597787160443085108e-01
8.234626505858169310e+01 8.881124523945366223e-01
8.937585209466138281e+01 9.339122693050954105e-01
8.414009893763885373e+01 8.914124337623252625e-01
5.112747966538849198e+01 7.450833720967732221e-01
4.378614489432168000e+01 -2.160751263855291704e-01
6.345558588923441334e+01 6.767356884643875858e-01
7.478104007730696878e+01 7.489852736762484531e-01
7.588355136985512672e+01 7.560684978875304996e-01
7.423122149768086331e+01 7.761385288212834244e-01
5.841714367231300997e+01 6.266612164249311112e-01
4.701217666414945739e+01 4.172393029547644128e-01
7.056357867427952613e+01 8.298074886043225185e-01
6.809805460042773007e+01 7.643436107456623718e-01
5.499118825748308836e+01 7.032441867138413683e-01
8.271423063773437434e+01 8.901503382931094110e-01
7.228254357431109156e+01 8.910483146823416911e-01
7.286938405137345853e+01 7.754199601501938766e-01
8.438109220364394503e+01 8.735349666860774409e-01
4.183147103548929380e+01 9.836721204595593182e-01
7.644575369616163130e+01 8.330527957566675745e-01
6.739710137154806091e+01 5.355653150278587571e-01
7.980551349973463005e+01 8.866391687799338728e-01
6.687394475143931061e+01 7.325990482320929864e-01
6.937597160045213229e+01 7.714535075851811641e-01
7.364029650348994949e+01 8.262731660999840244e-01
7.874569998543135796e+01 8.252504299538914179e-01
6.040227730601937139e+01 4.216724927844133219e-01
6.141896146684025126e+01 6.449210863897718582e-01
5.389446679096740667e+01 3.171617946339388983e-01
8.165293098659667237e+01 8.346601538320380653e-01
7.806208947516100238e+01 7.875313069359807239e-01
4.342390454626492158e+01 -3.319907449441170666e-01
6.888672037225167344e+01 6.922956753101032756e-01
8.616577158002031922e+01 8.830662658198821235e-01
9.402253660266831048e+01 9.469865481835605392e-01
6.941491386580220535e+01 9.173939307886831429e-01
6.674003352512704623e+01 8.751537132869616764e-01
8.205204584339230678e+01 8.204040829980199234e-01
7.155396302979217182e+01 6.533709281323532014e-01
7.319346652814654419e+01 7.779938864885804772e-01
8.830452730558516805e+01 9.203513529330138443e-01
7.211599749196147968e+01 7.812012387331545016e-01
5.573814557643436274e+01 6.982766489844314250e-01
5.516289729470226888e+01 6.865199419652541213e-01
5.561520913381858122e+01 6.687994000300555575e-01
3.879099881620852130e+01 4.819949384708775986e-01
5.521478646610209040e+01 7.291225396350791144e-01
5.752229254489005683e+01 6.743768913512765417e-01
5.275639043054488297e+01 6.268555728982728725e-01
7.301975948322449028e+01 7.752832659261321702e-01
7.148182272923399694e+01 6.857471388168721038e-01
6.542785389201256407e+01 5.993113675856494016e-01
7.729909646611237406e+01 8.670526546157535375e-01
7.894699163465436698e+01 8.086549006011831686e-01
5.886543973549942876e+01 3.494297916753451583e-01
8.557382163763989524e+01 8.608688715935036706e-01
6.630460686976591944e+01 6.963024359552723030e-01
8.177373968818218941e+01 8.252468265112051782e-01
7.648257662170664162e+01 8.962034518402826055e-01
5.810047941314049069e+01 5.219602287410342045e-01
6.708163732531637891e+01 7.260943306332723335e-01
6.745646091504158903e+01 7.163945033932077600e-01
6.739387139931265835e+01 7.168744422643207326e-01
6.387163176040400714e+01 5.482878417623148204e-01
5.912496773312157217e+01 5.068288548203093713e-01
7.119722239452416090e+01 6.854495502471329438e-01
7.388359038693590719e+01 7.272364131937220089e-01
9.492352643881953611e+01 9.420499390327075062e-01
9.120247165253233845e+01 9.259911553309458920e-01
5.798711662249733934e+01 4.605562065258774762e-01
6.571332225127966353e+01 6.451445118272463031e-01
6.512700052084237257e+01 6.671497012357889833e-01
5.218926513085189356e+01 4.658254945642114064e-01
4.412272339372606211e+01 7.014974786936699624e-01
8.505953008656932468e+01 8.943466752958184607e-01
4.142720991539444242e+01 1.793578044312995612e-01
9.193019976493584977e+01 9.220146658848163979e-01
4.584881100062282400e+01 -5.667674993813376361e-02
2.138106010617944364e+01 5.137946920856664157e-01
7.396942094983492666e+01 -4.121493613434568104e-02
5.623133634935964409e+01 2.369679449970100160e-01
7.355420365567754004e+01 6.972384490116245725e-01
8.553818428313154243e+01 8.733048841698350939e-01
7.793435580582288935e+01 7.954678745714252042e-01
7.006565215464272001e+01 6.058110951961255264e-01
7.762020867998870699e+01 8.041185539128243853e-01
7.095367971088697345e+01 7.440984087963462557e-01
5.861728974730261399e+01 7.181319402363335325e-01
6.128310898096117398e+01 8.195032032350533235e-01
7.344052872785592001e+01 7.504465965866017330e-01
6.628672279395672717e+01 8.446726551977019604e-01
5.971900166365484353e+01 4.065123623630920724e-01
8.501624464156822114e+01 8.498623886590265242e-01
9.367368340394642701e+01 9.297010139422776653e-01
7.866548647124622562e+01 8.185055404468363216e-01
7.122276701346952166e+01 8.040052737320253495e-01
6.207204239903155241e+01 8.328358829965181176e-01
5.573136875162766302e+01 6.260892285554757741e-01
6.525691860601796179e+01 8.545874351836211247e-01
6.746707971912155699e+01 8.311486887030677950e-01
6.595764523213253483e+01 7.085544854456249375e-01
7.354300239158732211e+01 8.216932144466927435e-01
7.818792091747806694e+01 8.447010356401336573e-01
7.802794957396173459e+01 9.115933674359092409e-01
7.655615594903790111e+01 8.997756307086642868e-01
6.346259018754034287e+01 7.362772187697440573e-01
6.679592740416441643e+01 5.639204235418757705e-01
7.019327199860805422e+01 7.611160245835664195e-01
7.701080462612532074e+01 8.734444911122656308e-01
6.894659855799665138e+01 7.689449529033602904e-01
6.845378390136461633e+01 7.604817619134272011e-01
7.287002545268209985e+01 8.767629896414712576e-01
6.862895422784225730e+01 7.223921046646737398e-01
6.838194934791393109e+01 7.325979167485821009e-01
6.725286752238287136e+01 7.228746092074940233e-01
7.009818149831359335e+01 7.794631306499550938e-01
4.915311100688197854e+01 1.276154109468520259e-01
4.875510035501137196e+01 2.567814789347213633e-01
5.418029579187970057e+01 3.437346520777638803e-01
8.783874010525920539e+01 9.212388777616372648e-01
4.940777621873486680e+01 3.606923548367221288e-01
4.717941089295926105e+01 4.931898338582295649e-01
6.595821233386340054e+01 6.468806048341210202e-01
6.411377572027816996e+01 6.794213315912722706e-01
6.393977751221649442e+01 6.061809314895341139e-01
6.953485340462158604e+01 7.436419482472969023e-01
7.490193598171306633e+01 7.792667260596191081e-01
7.823800616799459817e+01 7.692638880410780367e-01
5.737080329527302780e+01 7.270547823466453341e-01
6.043363384112299030e+01 6.569084336078689912e-01
8.844562337864934420e+01 9.278267613080636300e-01
7.288850536755447251e+01 8.229561236210587438e-01
7.447572258782331289e+01 8.479099619400798371e-01
6.834522189356574984e+01 7.688277395024438743e-01
7.221661566068726756e+01 7.562280137847645634e-01
6.871832360554348895e+01 7.971497124872013451e-01
6.273191689666901993e+01 6.200985462004278137e-01
6.027585903203546280e+01 7.804510072993612324e-01
8.467797129570018910e+01 8.962188629659897376e-01
6.630073952745293298e+01 6.965178722984481929e-01
6.575212301061792175e+01 7.068872000355466145e-01
6.147658758227072440e+01 6.122893206578587932e-01
5.728359483980681688e+01 6.486737640145523454e-01
6.346891842266535377e+01 7.732107551176270466e-01
6.186928877812583494e+01 4.618430802724373674e-01
6.580093711392152045e+01 6.065402470105909494e-01
6.555001981593949267e+01 6.844335529556846431e-01
6.438763508787855017e+01 6.583640386690885471e-01
6.844915069976644872e+01 7.687329466770149722e-01
5.393035263203009322e+01 3.096608490141149472e-01
5.401881943488265847e+01 1.387306329374276004e-01
7.630807983291616381e+01 7.369004033821713318e-01
7.819806707940703916e+01 7.325460735782285404e-01
5.679832405598896372e+01 1.855697893488355010e-01
5.862824350947420982e+01 2.425158399227085315e-01
2.347020761364520780e+01 2.531413764211620787e-02
8.834015927651618938e+01 9.357845616270389355e-01
9.248054553200447003e+01 9.569192603616244464e-01
7.078958690442019019e+01 6.818507816165115809e-01
8.458320793406200266e+01 9.200582901586523699e-01
7.283381314170060250e+01 7.274969253553161819e-01
3.350183920363364365e+01 5.070861904376744445e-02
2.190281182741021837e+01 -1.871031465101697933e+00
8.224920503798304594e+01 8.479948346685324267e-01
8.102160968395838836e+01 8.676759557422364377e-01
2.947968065953998362e+01 7.929595182042279422e-01
3.289646801011473798e+01 9.144735330940584328e-01
8.246530691627611986e+01 8.566332395476288220e-01
7.817300744900572340e+01 7.854903487816695673e-01
7.091177090924297488e+01 8.001634512841160340e-01
2.417062664611309941e+01 -7.432001375723082948e-01
5.416845623653208008e+01 2.758107499251312156e-01
4.416079704858468347e+01 9.906535776199407728e-01
6.053225569888484614e+01 6.412428257202358317e-01
4.304282354030858215e+01 2.374993349161669265e-02
3.638631494066721217e+01 7.760840024413023785e-01
3.914168039979076497e+01 1.773324159378115716e-01
3.795622299936036370e+01 5.176366075385598897e-01
2.744405742372112300e+01 -7.248396859219041755e-01
5.899162869853100943e+01 7.163403822386166242e-01
4.172889460920207938e+01 1.329937658868428629e-01
4.660047026652734559e+01 2.712509048866743600e-01
4.377564088294617761e+01 2.171052342435811910e-01
5.420125720658468538e+01 6.720652887873799219e-01
8.722626385378035252e+01 9.015360446548401629e-01
5.964577156450360462e+01 6.828915909807897755e-01
5.059953694280106617e+01 6.535217305350308203e-01
5.364737297932698112e+01 4.965655843996096275e-01
4.862563118908500570e+01 1.881641692427677981e-01
6.011279221808269568e+01 5.875255651290618442e-01
3.104771619787169001e+01 1.839471416736663256e-01
6.500476891645760702e+01 6.017928745452902906e-01
3.619794862204202701e+01 4.604247553675291371e-01
8.474810795565464616e+01 9.153257147705928798e-01
8.078801967609089729e+01 8.814867233537672098e-01
2.982480162538454493e+01 7.953765439936308912e-01
9.740089663952140597e+01 9.654948633598772201e-01
7.640505301433850605e+01 8.360974012655789656e-01
7.631802194190910882e+01 8.364178821390028107e-01
5.391446480387940454e+01 1.353519521590675900e-01
3.345360358591985062e+01 8.020596411900635658e-01
3.875441747350816257e+01 9.740392474318330107e-01
7.621728666098319138e+01 8.820857835604987152e-01
5.856979110570902236e+01 6.658090774185272398e-01
5.680795667415347339e+01 4.271496394355220882e-01
4.178530348798746274e+01 8.013746406511002007e-02
3.781203189754106120e+01 4.471542865466446859e-01
5.262384287845100772e+01 7.469427019836876180e-01
5.049168645118110277e+01 7.402279349355675997e-01
4.573883349698427025e+01 2.900169625845645527e-01
4.546036744787704009e+01 5.004146180793433984e-01
6.650575740075703379e+01 8.512520003665666746e-01
6.102252547635566060e+01 7.715469752649647406e-01
7.840765596994131670e+01 8.683975148045692816e-01
4.020904582868087118e+01 -1.787704987085847463e-01
9.240458046470590148e+01 9.536217138194031939e-01
7.494425294564359774e+01 8.221658328460685894e-01
9.875167088978609797e+01 9.637797567216095374e-01
8.864658458860995438e+01 9.260258001331511668e-01
6.486247248512736974e+01 6.357852021764661687e-01
7.768066211665316700e+01 7.535795890995270474e-01
5.083439552171121534e+01 3.507430905796891096e-01
4.769844200993988181e+01 2.934771845939294632e-01
5.990531325508819549e+01 4.963746481978780212e-01
4.680122622659538223e+01 5.320198649902178056e-01
3.006644187300962301e+01 7.131114171169772309e-02
7.783240453518314439e+01 6.550834903867790437e-01
6.491590998922247024e+01 5.444074622711085887e-01
3.710813238220536192e+01 2.634087563074555272e-01
3.233592293938581719e+01 8.634694586435598396e-02
3.918817368335761131e+01 8.298277940245464279e-01
2.992856731753359512e+01 6.712773849314239705e-01
4.317573710147771493e+01 9.871788871356736994e-01
3.246037128530049642e+01 9.050369926083622341e-01
2.834568822254914622e+01 5.780479537547780211e-01
6.282616487607951683e+01 7.412302446795574484e-01
7.893474738281885550e+01 8.054013156672740203e-01
7.228473369088322897e+01 7.011305230870963356e-01
9.674634326278238916e+01 9.406257571663656503e-01
7.321704728668950679e+01 7.133165153662788249e-01
7.139395142717016540e+01 7.483694203901091191e-01
7.622567049301588327e+01 8.149939344545865660e-01
7.958675559739879191e+01 8.367863216808555382e-01
8.512335886532930829e+01 8.031702454598245167e-01
2.726431477534185888e+01 5.885761478241771094e-01
9.423587428133205890e+01 9.231057917125439216e-01
8.636521516332622639e+01 8.745737312072661140e-01
8.623505231344839217e+01 8.753896434947031624e-01
7.545725925209961815e+01 7.062873272831957649e-01
3.648064466411580042e+01 8.711003409986326496e-01
3.929692594910730463e+01 9.657268115173338607e-01
2.874352891978815450e+01 7.790502264662777510e-01
4.279662011651348763e+01 9.859556498804552538e-01
7.263500127952515584e+01 8.346705359618493691e-01
6.985555131237090620e+01 7.991022454537424213e-01
7.769467581405460521e+01 8.834574516436627389e-01
7.839616294880539726e+01 8.896163824341900561e-01
7.028525957314298012e+01 7.217717213171013224e-01
7.562496424414443652e+01 8.774300385600438679e-01
5.821010101309897067e+01 7.556450167394124229e-01
5.606588138050750558e+01 7.767586788972971057e-01
5.362295618791796414e+01 6.737925865300778971e-01
7.383311921692400404e+01 7.836523030931624723e-01
7.050678510117354847e+01 7.895599447390938552e-01
7.404302560551320767e+01 8.762153483933698972e-01
7.928126215473984928e+01 8.642374432729666989e-01
7.786899056353962578e+01 8.394590414690953351e-01
7.707969329194472152e+01 8.919301567193027580e-01
6.361646971786964144e+01 8.900564510806632246e-01
8.839487288810212817e+01 9.360975508053930305e-01
4.669901591153517728e+01 9.483147838689292008e-01
9.528461352379201799e+01 9.623186867173422199e-01
6.632200622840322524e+01 6.980434498489096473e-01
6.635755362417616254e+01 7.608923113303320829e-01
2.315538116312573180e+01 -1.627552923642734850e+00
6.296584024443531291e+01 5.299715682897970792e-01
4.825505484102606601e+01 5.726180083648151342e-01
7.339036318748046028e+01 8.946279754746547797e-01
6.313837001597911325e+01 9.190488454152559994e-01
6.393763984906553333e+01 9.214264915689041047e-01
6.812952358277662768e+01 9.037143222234758078e-01
6.348599265440366679e+01 9.232135719191006951e-01
6.650230371925508166e+01 9.026622136627078241e-01
6.508488097989487642e+01 9.204355486831845568e-01
6.202123902615982587e+01 7.331187885762333600e-01
6.507778282162817618e+01 7.568142926664696013e-01
6.196645893211995570e+01 8.118840745539314119e-01
7.895492879376055839e+01 8.931872946666926660e-01
7.973812297112020531e+01 8.870941547555364348e-01
6.306448641893142337e+01 8.122563999603400475e-01
6.594679409883177357e+01 8.123021676961654780e-01
6.250312391492840192e+01 8.660042316671611173e-01
3.096138441057159696e+01 7.456366977021045006e-01
8.732530763455572753e+01 8.837972517413681395e-01
7.746644912804663363e+01 7.700512781437169885e-01
5.224097751139574086e+01 2.607993646865398585e-01
5.641175536036610794e+01 4.283923025094358294e-01
5.753548794139168621e+01 5.158946635592309704e-01
6.378045023083732445e+01 7.626126164350022218e-01
6.783783462595475555e+01 6.290850664111564683e-01
7.113702545560822443e+01 8.337414826614304442e-01
7.618177988104986298e+01 8.852000098700526509e-01
7.529299845433087057e+01 8.903681879049915038e-01
6.234485908136316112e+01 4.128071204396032146e-01
5.919999950100238095e+01 3.486602717786446703e-01
6.362734061788739126e+01 6.341219554670154412e-01
5.186607289405613130e+01 2.874449547176121111e-01
5.909244675381904699e+01 4.902627104014350978e-01
4.971266967833934558e+01 2.930747434640805782e-01
5.824096119840849184e+01 4.580593660777090292e-01
3.852415527874176604e+01 9.601488802287085900e-01
5.047719385889159582e+01 1.399153737670242315e-01
5.799064558574541195e+01 7.653659234041390036e-01
6.468308987450726022e+01 8.008429966406722667e-01
5.893786451852763975e+01 6.935089589659702014e-01
6.038744558676875585e+01 6.349449255906864931e-01
5.588227086961900625e+01 2.419702805999867090e-01
6.635698952384989013e+01 8.669105201864907295e-01
5.204405902045934340e+01 1.627338583328730159e-02
5.190626531056811643e+01 3.727388849596749987e-01
5.417817920121465392e+01 8.491260100959802104e-01
6.846536397673331464e+01 7.588069829300116975e-01
5.376376593515090718e+01 3.886989341747032478e-01
4.538767635468035166e+01 7.155772340324318970e-01
6.821024210580436886e+01 7.510903989458612706e-01
6.761766682028550690e+01 7.617121426749573487e-01
4.629261819661574862e+01 -3.019165298984849422e-02
6.026501543994622523e+01 5.160531280622226991e-01
6.271519986396518931e+01 5.913663873700147899e-01
8.526682227460149477e+01 8.675435440628900263e-01
6.023071431418098598e+01 6.323712381623625145e-01
6.166042908403359490e+01 8.298011268093168358e-01
5.419384504564528982e+01 4.428593133537244153e-01
7.840398074433969100e+01 6.659393104457564938e-01
7.689808194372969297e+01 6.631379466211870799e-01
9.120079014542588425e+01 8.453850814485059928e-01
6.675408521984219590e+01 4.662621654583269937e-01
9.377287703395036544e+01 8.717466568171653440e-01
6.771498916958647385e+01 4.789539005253362625e-01
8.185122584118258260e+01 7.704816152565920895e-01
4.987422494093756598e+01 6.459786538778446996e-01
5.667698713155471779e+01 8.006315924697752218e-01
7.395221648865786790e+01 9.108031625277137611e-01
8.211950220837390191e+01 9.006081822035522100e-01
7.156114712488486873e+01 6.761749747425733759e-01
6.543568384568634144e+01 5.408844390598026575e-01
5.099737383593426898e+01 4.110415130353217705e-02
7.365850008260346726e+01 7.173278480739171403e-01
7.943315776481880164e+01 8.251031369891015377e-01
7.481769851484320100e+01 7.762264332302026837e-01
7.598390487681093930e+01 7.666215605615637196e-01
7.363861200749398961e+01 7.561628077754032340e-01
5.889237367148625424e+01 4.450755870038669570e-01
7.273513909343756723e+01 7.320704469199147413e-01
7.388964469687017811e+01 7.059035560624071781e-01
7.323509014672971773e+01 7.191163062884758927e-01
7.235364245118059046e+01 6.846373367590505854e-01
6.933455270495774414e+01 6.319288340047306551e-01
8.139664286325346154e+01 8.178398010733873846e-01
9.140280628196062196e+01 9.050424269109053066e-01
8.252832381679299090e+01 8.466887536693947780e-01
5.758014657245475831e+01 3.368297211094846144e-01
6.773161935197461503e+01 6.332062038116774705e-01
7.814561201899340404e+01 7.988852129747977537e-01
5.214661652210056531e+01 4.509022267020034169e-01
5.283780850341280910e+01 6.293048941461640844e-01
4.801187420579904597e+01 2.644070470045166710e-01
6.656410652757995194e+01 7.048752862371550076e-01
7.262084227802688474e+01 8.036432631475765032e-01
4.289492556346809238e+01 -4.618488240354694518e-01
8.883864078128273434e+01 9.108569908818781036e-01
8.843832074542851274e+01 8.994527176956402803e-01
7.665470976792902036e+01 7.902783004247381227e-01
7.947236805357819378e+01 8.239683745036751050e-01
8.123805293795116711e+01 8.451545943119813664e-01
8.187698886199707715e+01 8.515846411307708141e-01
7.550824163435794389e+01 7.593533482964284209e-01
8.429133944829739278e+01 9.174882230760794677e-01
6.894557397827557566e+01 6.033495607360440660e-01
6.396049565859716068e+01 3.613031655958079957e-01
5.959092611476512502e+01 3.652447398292790748e-01
7.597185477261459141e+01 7.661531198546742694e-01
8.202782514994478902e+01 8.073585213004483840e-01
9.679519042569945952e+01 9.246020057222703592e-01
7.575647023528348711e+01 8.991475602898828523e-01
9.138662220738568465e+01 8.916186716991351124e-01
8.435147662285574199e+01 8.409705960377562572e-01
6.681266579772773184e+01 7.691267745778946896e-01
8.280137587498307994e+01 8.290707800698963181e-01
7.139155074255640443e+01 7.809406206802905759e-01
7.248099563221937558e+01 7.767985713174685447e-01
3.269184290000133331e+01 7.491431308149805179e-01
6.781501238517402896e+01 5.663050126599220579e-01
8.444457163347213680e+01 8.676781446762059646e-01
